"Title","ID","Created Date","Updated Date","Owner","Code"
"OMRON S8VK-T12024","41deaff2-447d-4efd-b1ce-9ffc637520f2",2024-07-04T16:02:52Z,2024-07-04T16:03:12Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON S8VK-T12024"
"SCHMERSAL BPS 16","43d0d64f-4eee-4036-a725-bb21a828b39b",2024-07-04T16:04:53Z,2024-07-04T16:05:19Z,"8901a580-8b7d-4cf0-9262-299d87e21186","101172566"
"AECO SC30SP-CE25 PNP NO+NC","43f70dce-d38e-482e-8579-b614d09d4ad1",2024-07-04T15:40:40Z,2024-07-04T15:40:47Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO C30000045"
"FS-M1P","442a57e0-bf7c-49b5-9f22-db99298c74f2",2024-07-04T15:48:06Z,2024-07-04T15:49:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FS-M1P"
"NÖDİNG PDM80-2510-011","470fafe8-9b46-4b07-8f6d-7220f3400998",2024-07-04T16:00:50Z,2024-07-04T16:01:25Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG PDM80-2510-011"
"IFM IM5123","4911d198-6aed-40b0-8af4-1003c6eea1a5",2024-07-04T15:51:40Z,2024-07-04T15:52:21Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IM5123"
"PANASONIC EQ-34-PN-J","4a5165d3-dc7e-49dd-b59e-64e234693d8a",2024-07-04T16:04:03Z,2024-07-04T16:04:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EQ-34-PN-J"
"EUCHNER ES502E","4ba4e053-1460-4db7-8f87-1e4ee3cb3452",2024-07-04T15:47:07Z,2024-07-04T15:47:53Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 010387 EUCHNER ES502E"
"NÖDİNG P126-4B1-411","4c9bfb5f-7726-4f73-968c-d891b31a9b28",2024-07-04T16:00:38Z,2024-07-04T16:00:43Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P126-4B1-411"
"AECO SI12-DCE8 NPN NO","4d420377-f716-434e-90cf-e1a4ec0d5de2",2024-07-04T15:41:09Z,2024-07-04T15:41:15Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO I12000600"
"BALLUF BMF 003W","4fff4d7f-9807-4962-8389-e695a8fd327c",2024-07-04T15:44:46Z,2024-07-04T15:45:12Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BMF 303K-PS-C-2-PU-03"
"AECO SIP25-C5 NPN NO+NC","52e285c0-00ee-4cf2-81f4-64ffef5d66a4",2024-07-04T15:41:53Z,2024-07-04T15:42:00Z,"8901a580-8b7d-4cf0-9262-299d87e21186","AECO SIP000069"
"NÖDİNG P121-4A9-F3K","54cc7bc3-baf8-4d54-9814-f540c5c9825c",2024-07-04T16:00:22Z,2024-07-04T16:00:31Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P121-4A9-F3K"
"PANASONIC RF-230","5580f77e-32ae-4c5b-9650-90de72a80bb7",2024-07-04T16:04:29Z,2024-07-04T16:04:51Z,"8901a580-8b7d-4cf0-9262-299d87e21186","RF-230"
"EUCHNER ES508E","5698c4e6-a04f-4d0d-a223-56827f82eb14",2024-07-04T15:47:04Z,2024-07-04T15:47:26Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 020397 EUCHNER  ES508E "
"ASCON K85-LCRR-D-E
","57230f0c-7d2a-4c03-abde-5b05bfefd14a",2024-07-04T15:42:48Z,2024-07-04T15:42:54Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ASCON K85-LCRR-D-E"
"NÖDİNG PDM80-2510-010","588218b9-5c14-4497-855a-a93f2e960398",2024-07-04T16:00:50Z,2024-07-04T16:01:10Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG PDM80-2510-010"
"NÖDİNG P131-4B0-V17","58d0cfdc-ca5b-48ab-a03d-32e3a2657dde",2024-07-04T16:00:40Z,2024-07-04T16:00:56Z,"8901a580-8b7d-4cf0-9262-299d87e21186","NÖDİNG P131-4B0-V17"
"OMRON E3FA-RP21","58ed608b-2289-4298-bb34-9a82138d3970",2024-07-04T16:02:09Z,2024-07-04T16:02:17Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON E3FA-RP21"
"FS-V31P","598a6113-4214-4b40-b370-fb75aba50222",2024-07-04T15:49:31Z,2024-07-04T15:49:48Z,"8901a580-8b7d-4cf0-9262-299d87e21186","FS-V31P"
"KLASCHKA IAD-12fg50n5-1NK2A","5c3d06fa-32e3-4040-aae7-6e3cfef6071c",2024-07-04T15:56:59Z,2024-07-04T15:57:18Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IAD-12fg50n5-1NK2A"
